,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025,Feb-2025,Jan-2025,Dec-2024,Nov-2024,Oct-2024,Sep-2024,Aug-2024,Jul-2024,Jun-2024,May-2024,Apr-2024,Mar-2024,Feb-2024,Jan-2024,Dec-2023,Nov-2023,Oct-2023,Sep-2023,Aug-2023,Jul-2023,Jun-2023,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022,Jun-2022,May-2022,Apr-2022,Mar-2022,Feb-2022,Jan-2022
Salary,"₹2,82,872","₹3,15,364","₹3,04,857","₹3,43,203","₹2,31,348","₹2,78,399","₹2,78,399","₹2,43,679","₹2,43,679","₹2,43,679","₹3,69,696","₹2,60,837","₹2,60,081","₹2,61,752","₹2,63,001","₹3,00,309","₹4,07,002","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹20,200",₹0,"₹1,64,498","₹2,43,809","₹2,23,831","₹71,676","₹1,50,017","₹1,13,265","₹1,40,231","₹1,62,635","₹1,46,180","₹1,23,542","₹1,40,692","₹1,52,027","₹1,52,184","₹1,50,626","₹2,21,183","₹1,61,856","₹1,57,191","₹1,54,148","₹1,58,782","₹1,56,610","₹1,53,797","₹1,39,372","₹1,04,025","₹1,34,160","₹90,132","₹1,37,207"
Employer Salary,"₹2,82,872","₹2,82,872","₹2,78,560","₹2,94,219","₹1,83,910","₹2,55,711","₹2,55,711","₹2,43,679","₹2,43,679","₹2,43,679","₹3,69,696","₹2,60,837","₹2,57,706","₹2,59,752","₹2,59,751","₹2,59,751","₹4,07,002","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932","₹2,47,932",₹0,₹0,"₹1,64,498","₹2,43,809","₹2,23,831","₹71,676","₹1,40,349","₹1,07,865","₹1,40,231","₹1,40,182","₹1,26,830","₹1,04,285","₹1,22,667","₹1,23,227","₹1,32,771","₹1,42,868","₹1,42,951","₹1,43,001","₹1,43,043","₹1,43,078","₹1,43,110","₹1,43,110","₹1,43,137","₹1,39,372","₹1,04,025","₹1,34,160","₹90,132","₹1,37,207"
Gross Salary,"₹4,05,325","₹4,05,325","₹3,99,130","₹4,34,317","₹7,72,916","₹3,61,355","₹3,61,355","₹3,41,667","₹3,41,667","₹3,41,667","₹5,24,830","₹3,38,667","₹3,68,101","₹3,38,667","₹3,38,667","₹3,38,667","₹4,96,712","₹3,25,000","₹3,25,000","₹3,25,000","₹3,25,000","₹3,25,000","₹3,25,000",₹0,₹0,"₹1,77,037","₹2,87,337","₹2,87,337","₹83,421","₹1,75,042","₹2,94,025","₹1,75,042","₹1,75,042","₹1,89,037","₹2,92,236","₹1,76,042","₹1,75,042","₹2,07,210","₹1,75,042","₹1,75,042","₹1,75,042","₹1,75,042","₹1,75,042","₹1,75,042","₹1,75,042","₹1,75,042","₹1,79,508","₹2,92,875","₹1,54,315","₹1,54,315","₹1,59,308"
Taxes,"₹97,503","₹97,503","₹95,570","₹1,02,648","₹2,11,411","₹82,744","₹82,744","₹77,288","₹77,288","₹77,288","₹1,34,434","₹54,930","₹58,061","₹56,015","₹56,016","₹56,016","₹56,016","₹73,268","₹73,268","₹73,268","₹73,268","₹73,268","₹73,268",₹0,₹0,₹0,"₹28,508","₹48,506","₹7,248","₹25,093","₹62,278","₹25,211","₹25,260","₹28,983","₹61,157","₹42,775","₹42,215","₹32,671","₹22,554","₹22,491","₹22,441","₹22,399","₹22,364","₹22,332","₹22,332","₹22,305","₹26,070","₹61,417","₹8,555","₹52,583","₹12,501"
Prof tax,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹400,₹200,₹200,₹200,₹200,₹200,₹200,₹0,₹0,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200,₹200
Other Deduction,₹0,₹0,₹50,"₹12,500",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹4,700",₹20,₹0,₹0,₹0,"₹10,365",₹0,₹0,"₹9,629",₹0,"₹1,000",₹0,₹0,₹20,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹2,000","₹2,000",₹0
EPF+VPF,"₹22,550","₹22,550","₹22,550","₹22,550","₹22,550","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹30,067","₹3,600","₹3,600","₹3,600","₹3,600","₹3,600","₹3,600",₹0,₹0,"₹7,639","₹14,800","₹14,800","₹4,297","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200","₹7,200"
Meal Allowance,"₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200",₹0,₹0,₹0,₹0,"₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹3,227",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200","₹2,200"
Variable Pay/Bonus(Don't use in calc),₹0,₹0,₹0,₹0,"₹3,52,645",₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹29,434",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,03,917",₹0,₹0,"₹13,995","₹1,17,194",₹0,₹0,"₹32,168",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹4,466","₹1,17,833",₹0,₹0,₹0
"Incentives(Oncall, Reim., gift card, Inc in Salary & mediclaim)",₹0,"₹32,492","₹26,297","₹48,984","₹47,438","₹22,688","₹22,688",₹0,₹0,₹0,₹0,₹0,"₹2,375","₹2,000","₹3,250","₹40,558",₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹20,200",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹19,257","₹2,050",₹0,₹0,₹0,"₹24,297",₹0,₹0,₹0,"₹15,672",₹0,₹0,₹0,₹0,₹0,₹0,₹0
