Category,Accounts,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025
Bank,HDFC,"₹7,15,814","₹8,51,327","₹4,84,724","₹3,48,241","₹6,96,819","₹4,70,052","₹6,65,364","₹9,08,989","₹11,82,529","₹13,75,684","₹12,48,819","₹11,25,999","₹13,52,626"
Bank,Axis,"₹35,592","₹1,24,645","₹1,65,865","₹91,740","₹30,960","₹34,871","₹44,597","₹54,763","₹75,815","₹65,613","₹1,56,613","₹1,60,680","₹1,61,157"
Bank,SBI,"₹46,561","₹96,561","₹96,561","₹1,56,788","₹96,887","₹96,887","₹1,10,050","₹2,10,932","₹2,11,814","₹2,11,268","₹2,12,150","₹2,18,555","₹2,18,555"
Bank,Kotak,"₹1,61,229","₹32,838","₹1,11,144","₹1,44,898","₹31,127","₹8,702","₹19,703","₹27,022","₹15,287","₹4,909","₹3,112","₹12,813","₹10,821"
Loan,SBI Home Loan,"₹23,53,603","₹24,15,781","₹24,26,195","₹24,36,312","₹24,30,647","₹24,30,647","₹24,66,451","₹25,75,860","₹25,84,726","₹25,75,591","₹26,01,241","₹25,89,579","₹26,15,229"
Loan,HDFC Home Loan,"₹19,13,497","₹19,18,711","₹19,50,795","₹19,50,795","₹19,50,795","₹19,50,795","₹19,50,795","₹19,50,795","₹19,61,235","₹19,61,235","₹19,61,235","₹19,61,235","₹19,66,950"
Loan,HDFC Ins Loan,"₹61,796","₹62,155","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901","₹65,901"
NPS,NPS T2,"₹5,44,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,33,154","₹5,11,831","₹4,89,360","₹4,52,730"
NPS,NPS T1,"₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,50,598","₹3,36,374","₹3,20,137","₹2,97,129"
EPF,EPF,"₹9,08,468","₹8,85,918","₹8,63,368","₹8,40,818","₹8,18,268","₹7,95,718","₹7,75,218","₹7,34,218","₹7,13,718","₹6,93,218","₹6,72,718","₹6,52,218","₹6,31,718"
PPF,PPF,"₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,40,692","₹1,15,692","₹1,15,692","₹1,03,192","₹90,692","₹78,192"
Brokerage,Black,"₹27,58,591","₹21,46,000","₹21,46,000","₹21,46,000","₹20,72,100","₹26,75,170","₹25,27,145","₹24,37,389","₹27,58,591","₹22,84,368","₹21,31,601","₹19,90,995","₹17,92,817"
Brokerage,Coin,"₹12,01,752","₹8,42,000","₹8,21,000","₹7,41,000","₹5,20,000","₹5,82,225","₹5,80,225","₹5,80,225","₹12,01,752","₹3,60,571","₹3,60,571","₹3,60,571","₹3,60,571"
Brokerage,Zerodha,"₹2,93,004","₹2,75,559","₹1,99,877","₹1,87,226","₹1,87,226","₹1,87,226","₹1,87,226","₹1,49,832","₹1,49,832","₹1,45,445","₹1,37,609","₹1,13,084","₹1,13,084"
