name,symbol,isin,asset_class,instrument_type,provider,whitelist
State Bank of India,SBI,SBI,CASH,SAVING_ACCOUNT,SBI,TRUE
Bank of Baroda,BOB,BOB,CASH,SAVING_ACCOUNT,BOB,TRUE
Bank of India,BOI,BOI,CASH,SAVING_ACCOUNT,BOI,TRUE
Bank of Maharashtra,BOM,BOM,CASH,SAVING_ACCOUNT,BOM,TRUE
Canara Bank,CANARA,CANARA,CASH,SAVING_ACCOUNT,CANARA,TRUE
Central Bank of India,CBI,CBI,CASH,SAVING_ACCOUNT,CBI,TRUE
Indian Bank,INDIANB,INDIANB,CASH,SAVING_ACCOUNT,INDIANB,TRUE
Indian Overseas Bank,IOB,IOB,CASH,SAVING_ACCOUNT,IOB,TRUE
Punjab and Sind Bank,PSB,PSB,CASH,SAVING_ACCOUNT,PSB,TRUE
Punjab National Bank,PNB,PNB,CASH,SAVING_ACCOUNT,PNB,TRUE
UCO Bank,UCO,UCO,CASH,SAVING_ACCOUNT,UCO,TRUE
Union Bank of India,UNION,UNION,CASH,SAVING_ACCOUNT,UNION,TRUE
Axis Bank,AXIS,AXIS,CASH,SAVING_ACCOUNT,AXIS,TRUE
Bandhan Bank,BANDHAN,BANDHAN,CASH,SAVING_ACCOUNT,BANDHAN,TRUE
CSB Bank,CSB,CSB,CASH,SAVING_ACCOUNT,CSB,TRUE
City Union Bank,CUB,CUB,CASH,SAVING_ACCOUNT,CUB,TRUE
DCB Bank,DCB,DCB,CASH,SAVING_ACCOUNT,DCB,TRUE
Dhanlaxmi Bank,DHANLAXMI,DHANLAXMI,CASH,SAVING_ACCOUNT,DHANLAXMI,TRUE
Federal Bank,FEDERAL,FEDERAL,CASH,SAVING_ACCOUNT,FEDERAL,TRUE
HDFC Bank,HDFC,HDFC,CASH,SAVING_ACCOUNT,HDFC,TRUE
ICICI Bank,ICICI,ICICI,CASH,SAVING_ACCOUNT,ICICI,TRUE
IDBI Bank,IDBI,IDBI,CASH,SAVING_ACCOUNT,IDBI,TRUE
IDFC FIRST Bank,IDFCFIRST,IDFCFIRST,CASH,SAVING_ACCOUNT,IDFCFIRST,TRUE
IndusInd Bank,INDUSIND,INDUSIND,CASH,SAVING_ACCOUNT,INDUSIND,TRUE
Jammu and Kashmir Bank,JKB,JKB,CASH,SAVING_ACCOUNT,JKB,TRUE
Karnataka Bank,KARNATAKA,KARNATAKA,CASH,SAVING_ACCOUNT,KARNATAKA,TRUE
Karur Vysya Bank,KVB,KVB,CASH,SAVING_ACCOUNT,KVB,TRUE
Kotak Mahindra Bank,KOTAK,KOTAK,CASH,SAVING_ACCOUNT,KOTAK,TRUE
Nainital Bank,NAINITAL,NAINITAL,CASH,SAVING_ACCOUNT,NAINITAL,TRUE
RBL Bank,RBL,RBL,CASH,SAVING_ACCOUNT,RBL,TRUE
South Indian Bank,SIB,SIB,CASH,SAVING_ACCOUNT,SIB,TRUE
Tamilnad Mercantile Bank,TMB,TMB,CASH,SAVING_ACCOUNT,TMB,TRUE
YES Bank,YES,YES,CASH,SAVING_ACCOUNT,YES,TRUE
Au Small Finance Bank,AUSFB,AUSFB,CASH,SAVING_ACCOUNT,AUSFB,TRUE
Capital Small Finance Bank,CAPSFB,CAPSFB,CASH,SAVING_ACCOUNT,CAPSFB,TRUE
Equitas Small Finance Bank,EQUITAS,EQUITAS,CASH,SAVING_ACCOUNT,EQUITAS,TRUE
ESAF Small Finance Bank,ESAF,ESAF,CASH,SAVING_ACCOUNT,ESAF,TRUE
Fincare Small Finance Bank,FINCARE,FINCARE,CASH,SAVING_ACCOUNT,FINCARE,TRUE
Jana Small Finance Bank,JANA,JANA,CASH,SAVING_ACCOUNT,JANA,TRUE
North East Small Finance Bank,NESFB,NESFB,CASH,SAVING_ACCOUNT,NESFB,TRUE
Shivalik Small Finance Bank,SHIVALIK,SHIVALIK,CASH,SAVING_ACCOUNT,SHIVALIK,TRUE
Suryoday Small Finance Bank,SURYODAY,SURYODAY,CASH,SAVING_ACCOUNT,SURYODAY,TRUE
Ujjivan Small Finance Bank,UJJIVAN,UJJIVAN,CASH,SAVING_ACCOUNT,UJJIVAN,TRUE
Unity Small Finance Bank,UNITY,UNITY,CASH,SAVING_ACCOUNT,UNITY,TRUE
Utkarsh Small Finance Bank,UTKARSH,UTKARSH,CASH,SAVING_ACCOUNT,UTKARSH,TRUE
Airtel Payments Bank,AIRTEL,AIRTEL,CASH,SAVING_ACCOUNT,AIRTEL,TRUE
Fino Payments Bank,FINO,FINO,CASH,SAVING_ACCOUNT,FINO,TRUE
India Post Payments Bank,IPPB,IPPB,CASH,SAVING_ACCOUNT,IPPB,TRUE
Paytm Payments Bank,PAYTM,PAYTM,CASH,SAVING_ACCOUNT,PAYTM,TRUE
Andhra Pradesh Grameena Vikas Bank,APGVB,APGVB,CASH,SAVING_ACCOUNT,APGVB,TRUE
Andhra Pragathi Grameena Bank,APGB,APGB,CASH,SAVING_ACCOUNT,APGB,TRUE
Chaitanya Godavari Gramin Bank,CGGB,CGGB,CASH,SAVING_ACCOUNT,CGGB,TRUE
Saptagiri Gramin Bank,SAPTAGIRI,SAPTAGIRI,CASH,SAVING_ACCOUNT,SAPTAGIRI,TRUE
Arunachal Pradesh Rural Bank,APRB,APRB,CASH,SAVING_ACCOUNT,APRB,TRUE
Assam Gramin Vikash Bank,AGVB,AGVB,CASH,SAVING_ACCOUNT,AGVB,TRUE
Dakshin Bihar Gramin Bank,DBGB,DBGB,CASH,SAVING_ACCOUNT,DBGB,TRUE
Uttar Bihar Gramin Bank,UBGB,UBGB,CASH,SAVING_ACCOUNT,UBGB,TRUE
Chhattisgarh Rajya Gramin Bank,CRGB,CRGB,CASH,SAVING_ACCOUNT,CRGB,TRUE
Baroda Gujarat Gramin Bank,BGGB,BGGB,CASH,SAVING_ACCOUNT,BGGB,TRUE
Saurashtra Gramin Bank,SGB,SGB,CASH,SAVING_ACCOUNT,SGB,TRUE
Sarva Haryana Gramin Bank,SHGB,SHGB,CASH,SAVING_ACCOUNT,SHGB,TRUE
Himachal Pradesh Gramin Bank,HPGB,HPGB,CASH,SAVING_ACCOUNT,HPGB,TRUE
Ellaquai Dehati Bank,EDB,EDB,CASH,SAVING_ACCOUNT,EDB,TRUE
